Compound	m/z	Retention time (min)	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
3.16_258.2794m/z	258.2794	3.16	1327.9	1410.7	1379.8	1384.8	1339.7	2416.6	2596.0	2769.7	2856.5	2781.7
2.41_556.4416m/z	556.4416	2.41	1218.7	1191.1	1186.0	1232.0	1343.1	1698.3	1733.1	1752.7	1827.3	1231.0
1.30_627.5386m/z	627.5386	1.30	1385.9	1390.1	1250.1	1271.3	1365.6	2629.6	2538.1	2720.3	2601.2	2790.2
2.02_250.2533m/z	250.2533	2.02	1422.2	1348.0	1266.3	1290.7	1375.1	2322.7	2405.3	2453.9	2359.6	2615.2
1.04_974.8123m/z	974.8123	1.04	1415.4	1330.8	1211.1	1305.7	1376.4	2571.7	2411.4	2573.0	2563.8	2644.4
1.34_327.2902m/z	327.2902	1.34	1287.9	1268.8	1424.4	1287.9	1435.1	2450.7	2499.5	2401.8	2479.1	2471.8
4.49_828.5162m/z	828.5162	4.49	1367.3	1399.9	1252.6	1362.5	1437.9	1429.1	1482.4	1417.6	1543.1	1461.5
0.99_627.5340m/z	627.5340	0.99	1486.4	1504.3	1386.4	1442.6	1449.5	2912.9	2777.4	2877.9	2923.4	3094.9
4.80_821.5948m/z	821.5948	4.80	1318.5	1495.7	1385.4	1496.4	1449.7	2698.2	2694.1	2732.6	2702.8	2882.1
0.85_607.3906m/z	607.3906	0.85	1063.6	1255.5	1182.9	1213.4	1478.9	1203.7	1146.4	1367.6	1192.5	920.4
4.46_784.4908m/z	784.4908	4.46	1281.4	1393.8	1376.6	1461.6	1498.9	1621.0	1628.4	1561.4	1717.9	1660.7
4.52_332.3268m/z	332.3268	4.52	1519.9	1533.3	1383.0	1493.5	1526.2	1561.8	1611.4	1611.3	1653.1	1607.8
2.04_639.6403m/z	639.6403	2.04	1733.1	1657.5	1585.1	1583.4	1544.0	2973.0	3016.9	3155.7	3086.7	3363.4
1.21_337.2730m/z	337.2730	1.21	1830.3	1420.7	1637.6	1471.5	1564.1	2379.4	2787.2	2460.6	2378.1	2375.8
